,,,acc_0,f1_0,gmean_0,BA_0,MCC_0,AP_0,acc_1,f1_1,gmean_1,BA_1,MCC_1,AP_1,acc_2,f1_2,gmean_2,BA_2,MCC_2,AP_2,acc_3,f1_3,gmean_3,BA_3,MCC_3,AP_3,acc_4,f1_4,gmean_4,BA_4,MCC_4,AP_4,acc_5,f1_5,gmean_5,BA_5,MCC_5,AP_5,acc_6,f1_6,gmean_6,BA_6,MCC_6,AP_6,acc_7,f1_7,gmean_7,BA_7,MCC_7,AP_7,acc_8,f1_8,gmean_8,BA_8,MCC_8,AP_8,acc_9,f1_9,gmean_9,BA_9,MCC_9,AP_9,avg_acc,avg_f1,avg_gmean,avg_BA,avg_MCC,avg_AP
GBTClassifier,default,new_winequality-red,0.5078291536050157,0.2527911558103845,0.06785303073170518,0.30612452266526474,0.17796533888631588,0.32325925751271506,0.530967868338558,0.2761149969853035,0.07599578835370976,0.3175916299385867,0.22114673801945472,0.33685225547298153,0.5284580721003135,0.27515512103604733,0.07591752149684898,0.3162886120272294,0.21342471781994793,0.32813110385679106,0.5171884796238244,0.2653780448467198,0.07391742964361156,0.3088622772015295,0.19638909183924758,0.3260805041935896,0.5334619905956113,0.27991266200488696,0.07692687868691307,0.31945670342573784,0.21940535767151306,0.3283770819958255,0.5253330721003134,0.2713513678840558,0.07500512102467372,0.3140970837890447,0.21299636131865296,0.33004887762882296,0.527842868338558,0.2731844858791037,0.07540766165166797,0.31549822711033093,0.21402567699587732,0.3309300074428579,0.5346826018808779,0.27578555188955817,0.07546719716883485,0.3196711039004946,0.22913956607870611,0.33657974916874545,0.5315967868338559,0.2763266947104059,0.07601058670242808,0.3180124422929986,0.2204951795246392,0.32432719019246686,0.5315791536050157,0.27669631784772425,0.07610794398165385,0.31801539658085487,0.2183270599997865,0.3233140611476864,0.5268940047021944,0.272269639889419,0.0748609159442047,0.3153617998932072,0.21233150881541413,0.3287900088612482
XGBoostWrapper,default,new_winequality-red,0.6328879310344828,0.4725023754177797,0.29419480930131714,0.4644924019900417,0.4068250990759467,0.5028682332683765,0.6203761755485894,0.470732377447067,0.33633299956336526,0.45888200471833257,0.3886484728671312,0.5013832022126786,0.6228742163009404,0.4732617732812282,0.31586926477064775,0.4628146747944525,0.39212991728782604,0.4976148310434591,0.6159796238244514,0.4621323313691369,0.32052946835648005,0.45198608091185954,0.3806525038093168,0.5036061437583677,0.6153859717868339,0.46182659514094376,0.2968239079337526,0.45056878610879797,0.3794086019770949,0.5024990244108122,0.624132053291536,0.4782906635293057,0.3230284133223071,0.4677448812024855,0.3944154946636661,0.5041329300352283,0.622259012539185,0.46299530459556565,0.2903417212559356,0.454601765484834,0.38945221745238995,0.5049208078873719,0.6291242163009405,0.4709565001336541,0.30361166333012923,0.46044218609523774,0.4008026632968386,0.4956486080482808,0.6285266457680251,0.476952144419426,0.33381154062776486,0.4653657012713734,0.400806850793359,0.5025145067635846,0.6272727272727272,0.47484036299116655,0.3102087838806541,0.4622370467086296,0.3962354952768992,0.5027495471416236,0.623881857366771,0.47044904283252736,0.3124752572342354,0.4599135529286045,0.39293773165004686,0.5017937834569783
GBTClassifier,GlobalCS,new_winequality-red,0.5021904388714733,0.41536856143355844,0.3598483440893068,0.4369116142672313,0.27922799513407826,0.41979917966740016,0.46530368338558,0.4025935202098202,0.41355248231441655,0.43831619553125273,0.23922196010085975,0.40839397086103,0.4903193573667711,0.40120951663180426,0.34540262623981927,0.42347705742778813,0.2549984207352186,0.4069163680918015,0.4759267241379311,0.4081328827685479,0.41764035088335777,0.44522937319422146,0.25180814142158925,0.4069439240653268,0.5002840909090909,0.4153684229680731,0.40481859414511784,0.44512282143188264,0.2675178992749287,0.41121848793978766,0.48657327586206894,0.41490996977857153,0.4253999466524859,0.4493346151833352,0.2586449077826536,0.40419404841565393,0.4809130094043887,0.41497406327268294,0.4262342934162498,0.4426352389156764,0.24499130502661162,0.4097874235637131,0.46843456112852666,0.41494302297705754,0.43812099540036914,0.4569726090571791,0.25222834012082823,0.4223301716372719,0.46467280564263314,0.38663758012788474,0.3528730191894609,0.41162409991728166,0.22863486796893845,0.395166263063034,0.47718064263322885,0.4103592261133958,0.41747976082162436,0.44241915616661365,0.268165369198592,0.4224922732146892,0.48117985893416926,0.40844967662813964,0.4001370413152208,0.4392042781092463,0.25454392067642984,0.4107242110519708
XGBoostWrapper,GlobalCS,new_winequality-red,0.5678507053291536,0.48667300071920366,0.49028592478806104,0.529561103508337,0.3678385357519368,0.4827137746388274,0.5534717868338558,0.46813362726157626,0.4678355001839062,0.5088039977435598,0.3466627242399761,0.48718668536046356,0.5478546238244514,0.4677727589767615,0.47260181033256393,0.5137269161225979,0.34297022591735227,0.4801072860291919,0.5528585423197492,0.4719663809568166,0.4792303150944335,0.5153982756516341,0.3482908774155574,0.48562869839104544,0.5553565830721003,0.4705266698492186,0.4666885134705427,0.5127209363985396,0.3512058298777049,0.48234530338539405,0.5622374608150469,0.48263388845849586,0.49774534644060253,0.5268501037611535,0.364664833606334,0.4824917791194546,0.5515673981191223,0.46755087672417456,0.46221234444723525,0.5081396801588538,0.34265387128367386,0.4673830957071769,0.5609913793103448,0.47624301681809733,0.47773891427031856,0.517450689714315,0.3574933748048199,0.4876549343318796,0.5584502351097178,0.47720364335959503,0.4802255783885821,0.5203014954191123,0.3561659510515399,0.4910789472333983,0.5653526645768026,0.4821503729373088,0.47952277069763083,0.5255452130772065,0.3649630296004352,0.4821409191896689,0.5575991379310344,0.4750854236061248,0.4774087018113876,0.517849841155531,0.354290925354933,0.48287314233865003
GBTClassifier,StaticSMOTE,new_winequality-red,0.5272237460815047,0.43394252961007096,0.41867583315719126,0.4465036606553297,0.2921657617806545,0.4468801800421024,0.5028311128526646,0.4150523789078582,0.40914427689318755,0.4389319751041391,0.2657302451666027,0.44005188078469726,0.5134521943573667,0.42698311880902456,0.41908660640131695,0.44220593272716735,0.28263792270688903,0.43100847955257615,0.5234561128526646,0.4297579221828201,0.4278224120940723,0.45480193294479926,0.2933104158176968,0.4410297458574027,0.5078095611285267,0.4217861991326915,0.4315698306291866,0.44821368105522524,0.27201838243737486,0.43538484472619343,0.5034208463949843,0.42264904344378246,0.41908103832113086,0.43719161050434846,0.27636771533039484,0.4477654853160876,0.5140791536050158,0.43020896071989334,0.43495706052611577,0.4522346610237456,0.2799047695252316,0.4327108667966395,0.5259326018808779,0.43119622222178666,0.4262539816315979,0.4526617163688392,0.29559830797439984,0.4564925343616878,0.5209463166144201,0.4386973505702943,0.449757528452755,0.4649383056936903,0.29023640839161613,0.45471280268619757,0.5278389498432602,0.44482090340943825,0.4496872864406642,0.46653822344946966,0.3004999980029516,0.4496496493800426,0.5166990595611286,0.42950946290076597,0.42860358545472177,0.4504221699526753,0.2848469927133812,0.44356864695036274
XGBoostWrapper,StaticSMOTE,new_winequality-red,0.5572217868338558,0.4641323126553741,0.4426665455326445,0.4846635578712114,0.33795259998399035,0.4727239650126277,0.5659933385579936,0.47497709876809957,0.4744598080839272,0.4966044015495334,0.35100994872233,0.4881724204429849,0.5728565830721004,0.4769249331130074,0.46216727542597136,0.4957973876996363,0.3595069591135408,0.4905362069549762,0.5715889498432601,0.4796098722443721,0.4692187799289792,0.49985125825877247,0.3587112447826713,0.4845887427748566,0.575987460815047,0.4788986397550149,0.4625729105887749,0.4980251657876872,0.3644564954199831,0.46915272563637966,0.5772257053291535,0.4798591897661139,0.4554518230465547,0.4991818804821354,0.36960901194105766,0.48933602977833807,0.5634796238244514,0.4618561381594876,0.4390104629616583,0.476835281087532,0.3431643909453144,0.4730069013390367,0.5541202978056426,0.4643313468387734,0.45200298153342156,0.48661811061954674,0.3361021713430906,0.48096739857913,0.5760227272727273,0.4846669376729283,0.4741012432990367,0.5051491636846317,0.36393482338234767,0.48206000044043273,0.5735070532915361,0.4782101297784334,0.45988068956169287,0.5002911064494657,0.36684914509297795,0.47639876162923606,0.5688003526645768,0.47434665987516045,0.4591532519962662,0.4943017313490152,0.3551296790727304,0.4806943152587998
GBTClassifier,SMOTE,new_winequality-red,0.41218456112852675,0.3451408067065297,0.3591107148771505,0.421805832537044,0.21858690434642608,0.3926499743966585,0.4577527429467085,0.3470811474330555,0.3148320113638732,0.39943121484613153,0.18894436441952894,0.3541833215774107,0.49346982758620683,0.37548346831106194,0.3516483200132988,0.41470080824341987,0.22999564314685356,0.3885387005372771,0.4840811128526646,0.37495114859715445,0.35312741051916113,0.4121643141550866,0.22696772770405413,0.4054860451550911,0.5078056426332288,0.432317844111768,0.43941131190373994,0.46159490520196417,0.2791940481647314,0.42902929781951576,0.46337970219435737,0.4009566168194233,0.410353852681508,0.4304152880734985,0.23745649107472483,0.40732470771459983,0.479010579937304,0.3970675749215785,0.36441805768632485,0.4276336554257834,0.23302414243530006,0.39524383856728074,0.43593652037617553,0.34616949184159107,0.3330075391724431,0.40852203798168435,0.19947977176731238,0.3883247731683831,0.3352782131661442,0.2623912113814815,0.2602667338746668,0.35964008797200986,0.14424856289256152,0.33852118354462596,0.4040830721003135,0.3281585605991989,0.30593109372566,0.3886480852739019,0.1878627423339591,0.36590412737115935,0.44729819749216293,0.3609717870722843,0.3492107045817826,0.41245562297105237,0.21457603982854523,0.38652059698520025
XGBoostWrapper,SMOTE,new_winequality-red,0.5434815830721003,0.4545293716411606,0.4551580965524854,0.48693462753402816,0.33622694959346644,0.4845938485972653,0.5484541536050156,0.4636649843578688,0.46395090645658144,0.5070002021863502,0.3445288114629804,0.46826636929178617,0.5365928683385579,0.4444173829799304,0.4204313723384464,0.4798396907367641,0.32897430466135597,0.47147775407771986,0.554090909090909,0.4702924297443564,0.47753507235019177,0.5096193014925314,0.3517789659364433,0.47130884822378805,0.5428311128526646,0.4596327346319063,0.4632491943477504,0.49725910071145796,0.33234758286128324,0.47104433945434243,0.5322257053291535,0.4474215945385399,0.4392988601875304,0.485343713084185,0.3181460398002526,0.4817020889061979,0.5490967868338558,0.4599427070139478,0.4557843310391309,0.49772034111849317,0.343532481290674,0.4776138255204274,0.5278173981191221,0.4395422119764968,0.42234093763842806,0.4742925712206224,0.3155667426997761,0.4716494895540889,0.5522296238244515,0.46525913351849324,0.46117423803138224,0.5052017309572909,0.34957849616507125,0.49159227533014704,0.5584757053291536,0.4722821263912163,0.4796914491696569,0.5087670284728075,0.3549111243598869,0.48759405149209545,0.5445295846394984,0.4576984676793917,0.4538614458111584,0.4951978307514532,0.3375591498831191,0.4776842890447859
GBTClassifier,ClusterCentroids,new_winequality-red,0.33581504702194354,0.32068900002067174,0.3935552159963279,0.42220199438103745,0.16478918999654812,0.3820354945794633,0.39778800940438874,0.37178603912185865,0.4446372065582323,0.4651487411113805,0.2287552306446678,0.40908089901492106,0.35084051724137927,0.33465569951673724,0.39333204986085996,0.4176521072109062,0.19129550382382254,0.3924785574348282,0.317076802507837,0.30864175455349546,0.36849607965181647,0.3911803408634661,0.1505511605930913,0.38542133281488444,0.36461010971786834,0.3352477150785726,0.3808448017963991,0.4055527679717576,0.18213936941685643,0.372380484584493,0.32396355799373044,0.3142219567223304,0.378950809931596,0.42593033675523734,0.16853301700289794,0.38040217000626636,0.36275862068965514,0.34261547408495613,0.4085298581435584,0.42806139477132704,0.17623112341328828,0.38614196455148664,0.3433405172413793,0.3235677831822012,0.37762904860185703,0.40985632448504566,0.18243371565212482,0.3860377666627759,0.3564792319749216,0.3342385582974866,0.3960288174636985,0.4251918133638902,0.17800267320515353,0.39423649087730794,0.36277037617554864,0.3338722364136345,0.3757188076099934,0.4060030062563407,0.18414736775356705,0.3807726291610316,0.3515442789968652,0.3319536216991944,0.3917722695614339,0.41967788271703893,0.1806878351502018,0.38689877896874586
XGBoostWrapper,ClusterCentroids,new_winequality-red,0.3314576802507837,0.3256794580091637,0.3926478827108121,0.4367687873189173,0.18763107418470798,0.4197792144971557,0.33772139498432596,0.3332119495499125,0.40016230758255916,0.44218598133695464,0.1970675839533878,0.4405356215340445,0.32393808777429467,0.3219734377506623,0.3838687036056764,0.433076458730584,0.18775154980190523,0.42025968728982593,0.3145885579937304,0.3152282861314669,0.3798663734805477,0.437469020534924,0.17124004325563355,0.40938077576907317,0.34144788401253917,0.3365843207427201,0.4050670552676173,0.4601192584814213,0.20487476189846765,0.4327726534727683,0.34395376175548587,0.33363093376462055,0.40202001102198154,0.454022264707692,0.20238939893833602,0.42118390590833316,0.3227115987460815,0.31875298968039106,0.3936235166193672,0.44311318061363336,0.18589077575358473,0.43245462683152824,0.3358483542319749,0.3333991656352818,0.41173624477205806,0.4628861225004631,0.20217341156097723,0.42090021308658,0.327096394984326,0.3186659831346342,0.3868517122142684,0.4321921251504156,0.18041466959559888,0.4144599462714263,0.3383640282131661,0.3357682793169062,0.4074598949963789,0.4579560944813948,0.20659099296630723,0.43983088817932153,0.33171277429467083,0.32728948037157596,0.3963303702271267,0.44597892938563993,0.1926024261908906,0.42515575328400573
GBTClassifier,SOUP,new_winequality-red,0.4677762539184952,0.3959840963359601,0.40452934777056704,0.43566991915395875,0.23366401860803396,0.41566214907951526,0.45150666144200624,0.3848075935676204,0.39652484517895,0.41952313259099905,0.21064848620874974,0.4092473037103795,0.43404780564263323,0.37406455712076037,0.39057939354215443,0.42649394753198316,0.19124621554291094,0.4053349485600787,0.46526253918495303,0.3946104875660128,0.39839591322307427,0.42515968551816224,0.22456993549366183,0.4076828702516705,0.4296453761755486,0.36506774305671763,0.3795497842629777,0.4138209044188298,0.1887332254627002,0.40270284449469484,0.4490340909090909,0.38875040472074146,0.40848527792589684,0.4324824826506776,0.20542724964730671,0.3941585437077567,0.4658620689655172,0.37845164451513574,0.3604933326887362,0.39749762807016487,0.21596996979891667,0.3863875089022907,0.45969827586206896,0.3910756612943346,0.3925649066187183,0.41874838234936523,0.21137871735222385,0.3968266908052246,0.42651841692789966,0.359767592142763,0.3618478885512318,0.4017137208263473,0.1891809715640107,0.39351471443918096,0.4571336206896552,0.3866180829245057,0.38269962901053234,0.41849169624022486,0.22258424290427975,0.4183943634316053,0.4506485109717868,0.38191978632445517,0.38756703187728386,0.41896014993507125,0.20934030325827946,0.40299119373823966
XGBoostWrapper,SOUP,new_winequality-red,0.5397296238244513,0.4743639109399271,0.5119365651518953,0.5338912658146084,0.3453372640644683,0.4725362111876613,0.5328173981191222,0.4675986905023247,0.4996014880498585,0.5234803101412834,0.3324216500007364,0.47635875390001836,0.5309737460815047,0.46396791041804375,0.5029748520841771,0.5230860864453037,0.3353372474521477,0.4683888193161474,0.5447355015673981,0.47367677348525133,0.5037823020946497,0.5290755797308135,0.35213912479187265,0.476916427649711,0.5365909090909091,0.46930012424186796,0.5028430386616382,0.5210084170834981,0.3354813253323953,0.482122153965925,0.5321943573667712,0.4580804210103584,0.4705823556542209,0.5055422700114655,0.3293010298437325,0.4586614938113138,0.52844631661442,0.4595549707122741,0.4817164177739688,0.5182279244184731,0.3290438062965559,0.46847524714552413,0.5459561128526647,0.482723393698454,0.5235651438870723,0.5422312745117545,0.35267540805083286,0.4837314141019718,0.5397315830721003,0.4653512930065234,0.4803607657725141,0.5222466782092047,0.34213719530661885,0.48337900280250745,0.5278252351097178,0.46020481904331084,0.4903526027117458,0.5156234325678228,0.3297550783854391,0.47342344158487293,0.5359000783699059,0.4674822307058335,0.49677155318417415,0.5234413238934228,0.33836291295248,0.4743992965465654
GBTClassifier,MDO,new_winequality-red,0.49844827586206897,0.37217803802041294,0.24330322893732173,0.4063382338434375,0.24175791290411258,0.3975644474018697,0.5209678683385579,0.3973452229351161,0.291648251746527,0.40774501217005543,0.2529281660244782,0.41453315463507856,0.5003409090909091,0.3612761781052566,0.22204052087625742,0.3827347129705579,0.2295536424746046,0.39561506190421863,0.5278193573667712,0.396149611745561,0.28620403525000215,0.40224470445112354,0.263357226612031,0.40469283964876235,0.511551724137931,0.38614073700266366,0.2533800405666265,0.41442520609763334,0.2641084960118013,0.3995278133354867,0.4990634796238244,0.371964976098224,0.26279765572647645,0.3825568825789168,0.22705697106485986,0.3827299779410551,0.4952840909090909,0.37117741703111246,0.22992030524449497,0.39594772169443654,0.22787012771738566,0.4047710834078212,0.5034149686520376,0.3669751718741469,0.23986012417882913,0.3803641873694307,0.23554746808404564,0.39902385637406634,0.5334737460815047,0.39822922954149,0.2794251845850707,0.4112997739276789,0.27853182328608683,0.4026375489790393,0.5296806426332288,0.3755644889532449,0.18969515485894356,0.3999034147424173,0.2672085567567666,0.4084318035990015,0.5120045062695926,0.3797001071307229,0.24982745019705493,0.3983559849845688,0.24879203909361722,0.4009527587226399
XGBoostWrapper,MDO,new_winequality-red,0.5903879310344827,0.4478300701376446,0.30055748627250256,0.45086206230039394,0.35524908576651654,0.47247146419006525,0.5891261755485894,0.4723550876913299,0.37958886508716916,0.47259928558159015,0.35546986975994876,0.48433003528062935,0.594739420062696,0.4580898127750417,0.3456347261856457,0.4560366896755109,0.3612123055845241,0.4676499428428914,0.6053683385579938,0.48218960532453126,0.3941473620389817,0.4804334867210235,0.3792982803892685,0.46133990972340566,0.5922257053291535,0.4545504331921529,0.3297897782057257,0.4578971679672346,0.3588868670912675,0.460102091065934,0.5935227272727273,0.4612713440782345,0.34195904324701143,0.4617371672044829,0.35848415495644004,0.45092006446578,0.5934913793103448,0.4661882291402321,0.35235194736962394,0.46982120993803755,0.3626358501699746,0.4712279742781951,0.5997570532915362,0.4630413954712223,0.34567729261153984,0.4679870896113787,0.37039205723872004,0.4708899894947308,0.6010207680250783,0.46556816671583584,0.35246804065022436,0.4655720043906495,0.3712228302448225,0.4590880657330432,0.5997276645768025,0.4502502159993334,0.30320537952318516,0.45361555929028274,0.365529785288598,0.47302074792425763,0.5959367163009405,0.46213343605255586,0.344537992119161,0.46365617226805844,0.36383810864900806,0.46710402849989324
GBTClassifier,default,new_vehicle,0.5177445179255133,0.2538737958700261,0.07146625301264807,0.3479563072586328,0.09009670529684083,0.536084416737426,0.5117995127044901,0.24217279257205152,0.06630514049272199,0.34105148613356545,0.044059117480435096,0.4962014721864884,0.5106439262095371,0.23949385728519879,0.06139329704519505,0.3394644115574348,0.05957410203403153,0.5203846665890086,0.5118203967977724,0.2400195508175372,0.06182234431888208,0.34039112050739956,0.06638726794043784,0.5035473617674385,0.5236407935955448,0.2685047127361523,0.09654619779631254,0.3552999584394933,0.14149833378992738,0.5179951458270854,0.5165541246084232,0.252541217556242,0.07871768486414019,0.34667371388301615,0.09077142329902357,0.5195505699578539,0.5153846153846154,0.25733708124101107,0.08782013089047706,0.34753744963047284,0.07799221914546374,0.5325477578222892,0.5129968673860076,0.24290310555995304,0.0648755049864779,0.3417899929527836,0.06660241897440121,0.5033588531386162,0.5118273581621998,0.2398800115233503,0.0639530557855634,0.34034676449861123,0.055736394293948235,0.5481340116249405,0.5106439262095371,0.24234709081572312,0.06677648221936171,0.34047216349541926,0.058516294805794546,0.5280217129611865,0.5143056038983642,0.2479073215977245,0.071967609141178,0.34409833683568286,0.0751234277060304,0.5205825968612333
