,,,,acc_0,f1_0,gmean_0,BA_0,MCC_0,AP_0,acc_1,f1_1,gmean_1,BA_1,MCC_1,AP_1,acc_2,f1_2,gmean_2,BA_2,MCC_2,AP_2,acc_3,f1_3,gmean_3,BA_3,MCC_3,AP_3,acc_4,f1_4,gmean_4,BA_4,MCC_4,AP_4,acc_5,f1_5,gmean_5,BA_5,MCC_5,AP_5,acc_6,f1_6,gmean_6,BA_6,MCC_6,AP_6,acc_7,f1_7,gmean_7,BA_7,MCC_7,AP_7,acc_8,f1_8,gmean_8,BA_8,MCC_8,AP_8,acc_9,f1_9,gmean_9,BA_9,MCC_9,AP_9,avg_acc,avg_f1,avg_gmean,avg_BA,avg_MCC,avg_AP
GBTClassifier,default,{},new_winequality-red,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XGBoostWrapper,default,{},new_winequality-red,0.6216594827586206,0.4470372097554744,0.27515424217909823,0.43668243938681617,0.38222576780316847,0.5074040799990893,0.6141222570532916,0.44195461825538346,0.2846846952683694,0.4306490392336092,0.36967436086926214,0.5073172902333165,0.6091359717868339,0.4457474668215335,0.2823019684431929,0.4346244819717214,0.36283162356757037,0.503503918616636,0.6222942789968652,0.4546695334738039,0.29642345219236027,0.44158750770147287,0.38412363017994444,0.49369404270738854,0.6222531347962381,0.44593484684546,0.2556346633045842,0.4380285870293143,0.3836722406593781,0.5172662617903129,0.6185050940438871,0.4414251465197399,0.24302934146923025,0.4337645814218488,0.3760841207920759,0.5042587963384213,0.6166340125391849,0.4460942959691673,0.2835024842431396,0.4347036518678108,0.37562211817639646,0.5036370746606254,0.618509012539185,0.452583630268069,0.2833689209829934,0.43870982913495926,0.37704990942541705,0.508019286563977,0.6134992163009405,0.44387558039507324,0.26753856390970226,0.43182555630862696,0.3687443991515441,0.5001158992589259,0.6047335423197493,0.4252524178685325,0.21441287409977097,0.4201744146357794,0.35593169234488,0.4941765306477334,0.6161346003134798,0.44445747461722374,0.26860512060924413,0.4340750088691959,0.3735959862969637,0.5039393180816426
GBTClassifier,CrossEntropyLoss,"{'reduction': 'sum', 'weight': tensor([ 2.3480,  2.5063,  8.0352, 19.7407], dtype=torch.float64)}",new_winequality-red,0.539717868338558,0.28361704856996184,0.07744387504469574,0.3232648900862288,0.2311435073666131,0.33376478036325724,0.5215909090909091,0.26885290622994523,0.07461085100043019,0.3117024030285716,0.20358328993063654,0.32911907598478535,0.5365909090909091,0.28268726690859214,0.07746065740685423,0.3215124149820138,0.2236593055548472,0.3339738304648475,0.5340869905956113,0.28004112907940726,0.07689924385481203,0.31986355125632643,0.22106130351748515,0.32790928035725286,0.5296923981191222,0.27560868435559555,0.0759253865479896,0.31687946563654773,0.21456210355741825,0.33132128463492,0.5397041536050157,0.28286721478817184,0.07721963258626909,0.3231926995466271,0.2325146968813569,0.3406626127513509,0.5297100313479624,0.27701868342702524,0.07638660553711255,0.317073149118188,0.21357994546968867,0.32860921644546076,0.5372021943573667,0.28299051639209305,0.0774688179683994,0.3219071115374278,0.2254678459140449,0.3279902133652516,0.5353369905956114,0.2819614967871487,0.07736664238460793,0.32081598883302964,0.22192894335507996,0.3307655948477902,0.5278369905956113,0.2719185676391874,0.07486022945684004,0.31560295311512154,0.21427216395144347,0.32532284866649863,0.5331469435736678,0.2787563514177128,0.07656419417880107,0.31918146271400827,0.2201773105498614,0.3309438737881415
XGBoostWrapper,CrossEntropyLoss,"{'reduction': 'sum', 'weight': tensor([ 2.3480,  2.5063,  8.0352, 19.7407], dtype=torch.float64)}",new_winequality-red,0.5691085423197493,0.491370214753187,0.5070950530560339,0.5375998615734143,0.37141242992881496,0.4880979965651358,0.5566242163009405,0.4692947321371655,0.47299967813721044,0.5107602423764493,0.3537112200290119,0.4814552397519235,0.5578467868338558,0.47798762057912353,0.4837150097017486,0.5195411909519254,0.35205782092499804,0.480883611169643,0.5634972570532915,0.4898697723743714,0.5078003369948385,0.5307897693056574,0.3578488257233647,0.477711040639047,0.5660011755485893,0.48487656135931195,0.49445161650140357,0.5280918950175445,0.36492816337318534,0.46908540031054863,0.560969827586207,0.4771948660782435,0.4642604906239919,0.5150436567777469,0.3535130045859411,0.47720210215733605,0.5740869905956113,0.4832659501071637,0.46746899820055854,0.5224732371922196,0.3725442406050655,0.48059230617535487,0.5697511755485893,0.4814676568187902,0.47207395796428975,0.5165053111325137,0.36715078383979294,0.4831903647232518,0.5641261755485893,0.4794299923603379,0.4710412417944406,0.5227974986732845,0.3607249013848126,0.4714844478391835,0.5597139498432602,0.47182279967542334,0.4542820030346212,0.5064003406725343,0.34795861318078175,0.4834730435464259,0.5641726097178683,0.48065801662431173,0.4795188386009138,0.5210003003673289,0.3601850003575769,0.4793175552877851
GBTClassifier,CrossEntropyLoss,{'reduction': 'sum'},new_winequality-red,0.5372217868338558,0.2824480510472051,0.07726169080498667,0.321900658855056,0.2254190432000379,0.33627955158904166,0.504075235109718,0.24490403111972725,0.06579081165567344,0.3003703583475893,0.170074728424085,0.32976230959092756,0.48591692789968655,0.23307859971105455,0.06365432123381033,0.29198512798022536,0.1454446663078492,0.33243522772725637,0.5271786833855799,0.2709612603500213,0.07463509863326864,0.31507711496899754,0.21468501613087607,0.3266801100158428,0.5397021943573668,0.2833833959659352,0.07742737178749193,0.32321507395201887,0.23150859233919735,0.3302602799604484,0.5065948275862069,0.25232942308300166,0.06706453607253081,0.3053225860470345,0.17570532037136516,0.3260471017459167,0.522844827586207,0.271412516930029,0.07521194106352655,0.3127663243619478,0.2014404850261505,0.3447987830106958,0.5284365203761755,0.27332647433736446,0.0754021898686384,0.3158673215985198,0.21583797790882447,0.32543869936682,0.49268612852664573,0.2577283525290114,0.07286805970526944,0.2963737945660332,0.14601233938013197,0.31968886165983773,0.5097080721003134,0.253258372682476,0.06781447665659487,0.3072053297941396,0.18389154665624405,0.32895399686387794,0.5154365203761755,0.26228304777558253,0.07171304974817912,0.30900836904715623,0.19100197157447618,0.3300344921530665
XGBoostWrapper,CrossEntropyLoss,{'reduction': 'sum'},new_winequality-red,0.6184952978056426,0.45817897969359284,0.27605608827511596,0.45129911575096154,0.3834603168350442,0.4919492944993598,0.626009012539185,0.4705189795765716,0.30350291345674646,0.4614398431952604,0.39604880166300854,0.5108972001739215,0.6103742163009405,0.46170194827804484,0.31149097048979646,0.4509536037623888,0.3713484267564314,0.4943003940141505,0.6266555642633229,0.4793272045193723,0.31941778694484135,0.46691583551631577,0.3971561110571131,0.5020449101887356,0.6135011755485893,0.4513976635639387,0.27536056825092714,0.44489415905740887,0.37498370311237644,0.4896058740555729,0.6278761755485893,0.4611397580700169,0.2634802859131937,0.45488124993389983,0.3984994712912193,0.495154551726474,0.6185266457680252,0.46409373632998696,0.2914923119598885,0.45481319770673656,0.38368705221863914,0.49865538337610416,0.6097570532915361,0.46247084432416496,0.30085629787323204,0.4516622886195069,0.37008704381340174,0.5026317581637864,0.6304153605015673,0.46735101304566024,0.2925568442464831,0.4603370388987959,0.4035966964685538,0.500828104016194,0.6078918495297806,0.45680114873204625,0.3262964803411348,0.44553681241985094,0.36686312260395815,0.4898410325928605,0.6189502351097178,0.4632981276133396,0.296051054775136,0.4542733144861126,0.38457307458197454,0.4975908502807159
GBTClassifier,FocalLossKornia,"{'alpha': 0.25, 'gamma': 2, 'reduction': 'sum'}",new_winequality-red,0.4759502351097179,0.2540082302021765,0.08661532576875884,0.29415098283623464,0.12798884759066737,0.30689294633707576,0.5009443573667711,0.2676550171135049,0.08251833743969333,0.3034320267096148,0.1594996326886368,0.2835294894826844,0.4396943573667712,0.2320558222728845,0.07290779393563787,0.2760250520440661,0.06656185839042272,0.2774892850650217,0.4615458463949843,0.248730760096694,0.07280759177407133,0.27992618453604495,0.09397773345897782,0.2890165479762357,0.42778605015673976,0.2108640232830851,0.07651732570935958,0.26742913354131237,0.04521823779711299,0.29177978037238456,0.40774882445141064,0.1944764579803081,0.07050052090541557,0.2628088175072604,0.011247845320270268,0.2808531780554029,0.4865791536050157,0.23317226867292482,0.06249192407581252,0.29273188399519234,0.1453716922350171,0.2825044393997521,0.4802938871473354,0.2602311180604783,0.08845698294747176,0.29422372672702624,0.1305876598255023,0.27989375977478154,0.452157131661442,0.23540422877258446,0.08111788364310328,0.27859811790865263,0.10861972749791979,0.29275965887019567,0.48279584639498435,0.27142001991536546,0.10419539578873323,0.3112357219545241,0.14970749970636832,0.2994778584757196,0.4615495689655173,0.2408017946370006,0.07981290819880574,0.2860561647759929,0.10387807345108957,0.2884196943809254
XGBoostWrapper,FocalLossKornia,"{'alpha': 0.25, 'gamma': 2, 'reduction': 'sum'}",new_winequality-red,0.6109972570532914,0.47308271980012384,0.3346018017960862,0.45936677083715305,0.37450454031819375,0.4920058297291213,0.6160109717868338,0.47150620247916164,0.33909847517062486,0.45899803444076764,0.3819537475581099,0.4818581053020818,0.6129075235109718,0.47017834464977887,0.315801327003746,0.4587375008189367,0.37749063702157065,0.48595732355413424,0.6166281347962382,0.46902071645148935,0.3183258104791186,0.4579759137391588,0.3819672890962422,0.4876392891788595,0.613487460815047,0.45834499976618054,0.29559448508961894,0.4526409783875904,0.3788914118051968,0.47819760005993805,0.6147413793103448,0.47078304873979454,0.34448021757405317,0.4563381743194964,0.37817763284542893,0.49635550666983974,0.6285168495297806,0.47709365770430423,0.32563592770976213,0.46577828407690297,0.39960534611466103,0.48982914159077573,0.6203859717868339,0.4760110310015004,0.33058131234218047,0.4635702395603148,0.38866114928460604,0.5007517838356996,0.6041457680250784,0.4487405919248205,0.29305941089887116,0.44195370722934274,0.3637018285757597,0.4780189365729794,0.6110305642633229,0.47174556402208206,0.35759903117445013,0.45786539171166235,0.37545467658769505,0.48792427892317913,0.6148851880877741,0.46865068765392354,0.3254777799238512,0.45732249951213255,0.38004082592074645,0.48785377954166087
GBTClassifier,FocalLossKornia,"{'alpha': 0.25, 'gamma': 1, 'reduction': 'sum'}",new_winequality-red,0.48282327586206897,0.267290566570622,0.09732197308241514,0.29878885238502556,0.1372640768872324,0.3202604651374866,0.5084306426332288,0.26765196500322763,0.07459720339749075,0.3057257228589033,0.18697626822724925,0.31465441179801096,0.463385579937304,0.25364728589354557,0.08119701095011247,0.28287470644653345,0.09558631738076612,0.29704388483637323,0.4696394984326019,0.24144349492364628,0.06918636230861493,0.28473377627137125,0.10806170860124216,0.32074025862981487,0.45781347962382446,0.23183898091334143,0.0680273080749707,0.27370644056411286,0.08642320626004012,0.3023705752073933,0.41708072100313476,0.21088481184102306,0.0692675384814965,0.2563185983791327,0.014913153612363773,0.30469633091015375,0.4509365203761755,0.24635546437528558,0.09427193091922262,0.28820676945809937,0.09554246259550987,0.30044192264709524,0.48966105015673983,0.24417550151743583,0.068996244913527,0.2921737718720312,0.14666527006610242,0.3016003572201066,0.45341496865203756,0.23257908143422398,0.07505346433226492,0.2781438099785146,0.09770936644127229,0.31972077374821284,0.47648119122257054,0.24986478460945233,0.07955107610715392,0.28932782859393547,0.11987690418834858,0.3334261190094722,0.4669666927899686,0.24457319370818037,0.07774701125672691,0.28500002768076593,0.1089018734260127,0.311495509914412
XGBoostWrapper,FocalLossKornia,"{'alpha': 0.25, 'gamma': 1, 'reduction': 'sum'}",new_winequality-red,0.626005094043887,0.4766165115595623,0.3354292131544743,0.4621879038403782,0.3955952240419645,0.49335799262461366,0.6103761755485894,0.4661707410286078,0.32740924823010475,0.4538371040331174,0.3717991475272971,0.49732572490126986,0.6210364420062696,0.47235461230165665,0.30436525040196816,0.46043634866516187,0.3887709918850547,0.49728037658418406,0.6191281347962383,0.4779418202700489,0.3655156207939293,0.4635384057854762,0.38783703911029227,0.49696035641459,0.6185286050156741,0.47028662498303353,0.3154228810951634,0.4585799212251671,0.38454025384304613,0.4867207263243848,0.6047550940438872,0.45999869790919456,0.31113294245475964,0.44895848690090234,0.363387121833456,0.49158184200665633,0.6179055642633229,0.47599782571557353,0.31437086781942897,0.46380332266933044,0.3832488829103788,0.4971777622521838,0.6222550940438871,0.46467654831380745,0.27560008231067623,0.4573475610154191,0.39050159103874593,0.49992253124953623,0.6153918495297807,0.4624143757537754,0.32461640281510284,0.4514573268105117,0.378963537325215,0.5010682513705903,0.6197609717868339,0.4847409792805867,0.3710875372219655,0.46908014578395874,0.3888647324723563,0.490225158644057,0.617514302507837,0.4711198737115847,0.32449500462975733,0.45892265267294235,0.3833508521987807,0.49516207223720654
