,,,acc_0,f1_0,gmean_0,BA_0,MCC_0,AP_0,acc_1,f1_1,gmean_1,BA_1,MCC_1,AP_1,acc_2,f1_2,gmean_2,BA_2,MCC_2,AP_2,acc_3,f1_3,gmean_3,BA_3,MCC_3,AP_3,acc_4,f1_4,gmean_4,BA_4,MCC_4,AP_4,acc_5,f1_5,gmean_5,BA_5,MCC_5,AP_5,acc_6,f1_6,gmean_6,BA_6,MCC_6,AP_6,acc_7,f1_7,gmean_7,BA_7,MCC_7,AP_7,acc_8,f1_8,gmean_8,BA_8,MCC_8,AP_8,acc_9,f1_9,gmean_9,BA_9,MCC_9,AP_9,avg_acc,avg_f1,avg_gmean,avg_BA,avg_MCC,avg_AP
GBTClassifier,StaticSMOTE,car,0.7002328893356791,0.2059225393735007,0.0316227766016838,0.25,0.0,0.23073383845192352,0.7002328893356791,0.2059225393735007,0.0316227766016838,0.25,0.0,0.2306589480869831,0.7002328893356791,0.2059225393735007,0.0316227766016838,0.25,0.0,0.23066759279403753,0.7002328893356791,0.2059225393735007,0.0316227766016838,0.25,0.0,0.23444229795276716,0.7002328893356791,0.2059225393735007,0.0316227766016838,0.25,0.0,0.23068979159588926,0.7002328893356791,0.2059225393735007,0.0316227766016838,0.25,0.0,0.23072245659616764,0.7002328893356791,0.2059225393735007,0.0316227766016838,0.25,0.0,0.23075297783504553,0.7002328893356791,0.2059225393735007,0.0316227766016838,0.25,0.0,0.23073211073864958,0.7002328893356791,0.2059225393735007,0.0316227766016838,0.25,0.0,0.23090654847604397,0.7002328893356791,0.2059225393735007,0.0316227766016838,0.25,0.0,0.23492204857665772,0.700232889335679,0.2059225393735007,0.03162277660168379,0.25,0.0,0.23152286111041648
XGBoostWrapper,StaticSMOTE,car,0.9427108988858173,0.8602539036165346,0.9225875912574159,0.925436764192745,0.8799443915022689,0.6884660020080605,0.9455993968333752,0.8747338098821386,0.9339872080548881,0.9370426821981847,0.8864541957519814,0.7119323290461108,0.9404004356203401,0.8597366895438808,0.9121832478480549,0.9155608147833029,0.8747468734667398,0.6813529009597383,0.945031414928374,0.8686617324566305,0.9301593640066035,0.9328077424967377,0.8848729317851763,0.6802439313359215,0.945609449610455,0.8686430343241238,0.922281892459759,0.9260703411421115,0.8861158208050576,0.7038697617227642,0.9392477171818715,0.8528498333711351,0.906446921089476,0.9119331625312487,0.8724820889953285,0.6905166195392567,0.942134539666583,0.8581577928314224,0.9070921463830253,0.9127902002303916,0.8785225044057615,0.675320421554282,0.9461925106810757,0.8709071425713477,0.9294786114837807,0.9318378391942985,0.8874654466893785,0.6839946465950278,0.9467655189746168,0.8722325314123003,0.9354888441597007,0.937703504629342,0.8882949268022093,0.6906539513649106,0.9485130267236324,0.8785191581368794,0.9308184885045556,0.9344181536167182,0.8921268479217179,0.7105453460606437,0.9442204909106142,0.8664695628146394,0.923052431524726,0.926560120501508,0.883102602812562,0.6916895910186717
GBTClassifier,SMOTE,car,0.791679651503728,0.7269974489574833,0.8586863726246415,0.8644709955116653,0.6450418728526033,0.6892958063581709,0.7801089050850297,0.7143572734804786,0.8620578315941941,0.868292054835117,0.6300459758550966,0.7358138153213902,0.7939633073636592,0.7313116388710196,0.8693818048105394,0.8756138598243861,0.650067594778996,0.7290405065920716,0.7945631230627461,0.7438363381307063,0.8816369503024065,0.887339693799024,0.6573866946314562,0.7300637802816705,0.7864555583479936,0.7391765242983387,0.880978545703132,0.887016093953893,0.6478053052143748,0.7210988636335599,0.7905252576024127,0.7355516126589383,0.8774222032881372,0.8832028019827062,0.6508889003343097,0.7315991757463406,0.8073050180112256,0.7606961886083555,0.8851262037886818,0.8902038153234326,0.6706273209155915,0.715311698782598,0.7893373544441652,0.7336196330555492,0.8690825859537821,0.8756806590538648,0.6457564247366209,0.7277731523835378,0.7795224930887159,0.7192308169748954,0.8675317683917265,0.8750305316692876,0.6305461882507813,0.7113222791837558,0.7945614475998994,0.7440787837374183,0.877114414931904,0.8825335549617848,0.6531233080859576,0.7452516403211823,0.7908022116109574,0.7348856258773183,0.8729018681389146,0.8789384060915161,0.6481289585655786,0.7236570718604278
XGBoostWrapper,SMOTE,car,0.9288347155901817,0.8674073187261394,0.9344495953078112,0.9361857639967688,0.8567612224215516,0.6507634569347964,0.931709809834967,0.8721425554817579,0.9382437966315255,0.9395999933081273,0.8613470932875649,0.6516130591574216,0.9265024713076988,0.8688824501181204,0.9391722358237885,0.9407521903933386,0.8520526131487125,0.6386046344686565,0.9311334506157326,0.8661067219379891,0.93116082147228,0.9326466595605352,0.8604143029387993,0.6430566592005894,0.9282633827594873,0.8644351823276845,0.930323453759861,0.9321715963462374,0.8557054226616415,0.659442653400348,0.9259361648655441,0.8591678090292364,0.930189476519344,0.9325746621799252,0.8509653748267535,0.6695807512748266,0.9328742565133619,0.8819060388715847,0.9470652443410159,0.9481692350711489,0.865003041275949,0.6432293063306945,0.9259361648655441,0.8752693019505511,0.9440424964447895,0.945247157149071,0.8526214523768114,0.6381321369972992,0.9294093993465695,0.8641444088192536,0.9337208001187556,0.935232172134086,0.8573057299081084,0.6316210567018249,0.926497444919159,0.8590561326618541,0.9270787615837766,0.9302848467322151,0.8520475184679782,0.6512598832807157,0.9287097260618247,0.8678517919924171,0.9355446682002949,0.9372864276871453,0.856422377131387,0.6477303597747173
