,,,,AP_0,AP_1,AP_2,AP_3,AP_4,AP_5,AP_6,AP_7,AP_8,AP_9,BA_0,BA_1,BA_2,BA_3,BA_4,BA_5,BA_6,BA_7,BA_8,BA_9,MCC_0,MCC_1,MCC_2,MCC_3,MCC_4,MCC_5,MCC_6,MCC_7,MCC_8,MCC_9,acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9,gmean_0,gmean_1,gmean_2,gmean_3,gmean_4,gmean_5,gmean_6,gmean_7,gmean_8,gmean_9,avg_acc,avg_f1,avg_gmean,avg_BA,avg_MCC,avg_AP
GBTClassifier,DiceLoss,"{'alpha': 0.5, 'square_denominator': True, 'reduction': 'sum', 'index_label_position': False, 'smooth': 1e-05}",new_winequality-red,0.2309127732599162,0.22185177847144505,0.21342884270989804,0.2261464178460399,0.21189825942099186,0.2361607416927709,0.22006390365360687,0.21694377623391592,0.21311326873464634,0.2238948189185032,0.1476211580462184,0.14316166283995926,0.14291533512240262,0.15017011949140296,0.1544468364977829,0.15354077955744497,0.14544398099027597,0.13951045141120216,0.13287970003720895,0.13411967893215548,-0.15272442748544396,-0.19544631872805024,-0.1885998094720361,-0.15573947729447574,-0.1627857031011605,-0.1639652848145649,-0.16817454023766826,-0.21167658595141262,-0.20130004594905387,-0.19282139423476832,0.12385384012539184,0.12569161442006271,0.14884012539184951,0.18634796238244514,0.14756857366771162,0.15071512539184953,0.1463264106583072,0.1463734326018809,0.1144376959247649,0.12006073667711599,0.10164658664399082,0.09620490412847536,0.11402158941803946,0.12003392453319917,0.10917743222649279,0.11654890014313617,0.11244575047403307,0.10889942054630089,0.08348725174769273,0.09078313583282574,0.08449279336710827,0.07221853803391776,0.08121790836266582,0.07053414815511383,0.07422137031570869,0.08818887972201797,0.08187877193533069,0.07666823606601,0.06248670107427634,0.06813289497504554,0.14102155172413794,0.10532488956941861,0.0760040242007195,0.14438097029260538,-0.17932335872686345,0.22144145809417343
XGBoostWrapper,DiceLoss,"{'alpha': 0.5, 'square_denominator': True, 'reduction': 'sum', 'index_label_position': False, 'smooth': 1e-05}",new_winequality-red,0.29954087601090196,0.3026284655577641,0.30479843970558107,0.30464410991836594,0.30216724309845466,0.29714882363257206,0.29953075032669974,0.2978910671694385,0.2982953536156021,0.2981927543540434,0.36098824058727175,0.35794351480857584,0.3486879567854643,0.35722803304069195,0.34929240909932285,0.34701967558353586,0.35302171482133865,0.34889943334725115,0.34982135604902914,0.3480784384688268,0.32599845721319765,0.3175126201415598,0.29030504230297505,0.31475293154426004,0.29189685616364647,0.2853983507824117,0.302943412577775,0.2909962360021624,0.2933800102405151,0.28829516726114196,0.5966359717868339,0.5922178683385579,0.575987460815047,0.5903820532915359,0.577239420062696,0.5734855015673981,0.5840909090909091,0.5772511755485893,0.5784835423197492,0.5753683385579936,0.3268765795484002,0.3232425277732672,0.3155475879390456,0.32306604679208495,0.31610740477813803,0.31399822026833296,0.3191418884735365,0.3152835933561928,0.316364421547244,0.31491223087203213,0.08485185088969607,0.08431056018450496,0.08340744598530696,0.08440733434281879,0.08348193882437875,0.08318092916147798,0.0838182956740782,0.08329771251519605,0.08349494488616424,0.0833072720452036,0.582114224137931,0.31845405013482747,0.08375582845088256,0.35209807725913084,0.3001479084229645,0.30048378833894235
GBTClassifier,DiceLoss,"{'alpha': 0.25, 'square_denominator': True, 'reduction': 'sum', 'index_label_position': False, 'smooth': 0.001}",new_vehicle,0.30218330678073757,0.3633026802741699,0.290071892733826,0.2574431399978008,0.25758109232554205,0.31970140700956684,0.33147519908006134,0.3555498389306907,0.32555793180725645,0.3017759494799932,0.1584497984155987,0.22055985510157877,0.13234959826615095,0.09054872092491792,0.09235192076505346,0.17444883965403804,0.15437360557059598,0.18260997324608816,0.1773183269079302,0.17156393462139016,-0.280736950136228,-0.17182388469497595,-0.31355685061925614,-0.37173081817662246,-0.35900465215699856,-0.25457601252281303,-0.2715065212053912,-0.2113685816702179,-0.2541600038828561,-0.28665312482091065,0.171472328576401,0.23776540201879567,0.12770623042116255,0.09806474068917508,0.09332405151409676,0.17131917855899756,0.19493212669683257,0.2472676644622346,0.22714932126696832,0.19384615384615383,0.14965498653324594,0.19296306176048578,0.11967252227454091,0.08881815309980345,0.08650479756982651,0.14536087103127723,0.15141052167152536,0.16808968743180538,0.17083079827161227,0.14600180719961875,0.09599521544022091,0.12308441417784818,0.09900684451906563,0.07512233828614788,0.07636454108541284,0.10447668718000802,0.08886287128388733,0.09097235552312885,0.10093813336676064,0.09674878894428811,0.1762847198050818,0.14193072068437415,0.09515721898067683,0.15545745734733424,-0.277511739988627,0.31046424384196447
XGBoostWrapper,DiceLoss,"{'alpha': 0.25, 'square_denominator': True, 'reduction': 'sum', 'index_label_position': False, 'smooth': 0.001}",new_vehicle,0.9378727971592262,0.9320871007021461,0.9281291446479905,0.9049292205892849,0.9237363325556398,0.9386565680740331,0.9420371706450282,0.9485024397986462,0.9276197379156572,0.9240499465614977,0.924636372139792,0.9008641343456665,0.9153042367269453,0.9077013851022059,0.9039341377576673,0.9268819841049663,0.9203184852842856,0.9131385197869466,0.9245207361418031,0.8900852840729723,0.881711434056435,0.8507761783719834,0.8643091578789356,0.8534539469537024,0.8518791811037539,0.8834381693466152,0.8740258064650643,0.8611901251859682,0.8793842332884895,0.8296483695854329,0.9255273233553776,0.9066759484859033,0.91372084928646,0.9077758440654368,0.9066202575704839,0.9267316394013226,0.9196032022276366,0.9125234946049426,0.9243230073094327,0.8924051514096764,0.9225801936846164,0.9009335185208919,0.9110939973118904,0.9036349206503456,0.9032014029118447,0.9237465122085406,0.9162127077546189,0.910632070095138,0.9208846632057973,0.8880688784427123,0.9232961630248516,0.898923121595206,0.9137313312619918,0.9068048318184788,0.9031712213303452,0.9262611316729252,0.9184670206735621,0.9121886771966047,0.9237659097612558,0.887492575095027,0.9135906717716672,0.9100988864786398,0.911410198343025,0.9127385275463251,0.862981660223638,0.9307620458649148
GBTClassifier,DiceLoss,"{'alpha': 0.25, 'square_denominator': True, 'reduction': 'sum', 'index_label_position': False, 'smooth': 0.0001}",new_vehicle,0.2698581584840217,0.22227935130644477,0.22651771482223096,0.24327926132267425,0.24287522229985856,0.23849332683992702,0.22863776012336184,0.23731844348312006,0.23646952952705558,0.24528229302888044,0.08820962970757772,0.06007904468232785,0.0661491852121127,0.06915403110341552,0.09251025991792067,0.07205219085520043,0.0422787381337313,0.05820378891514323,0.05778182222094671,0.08267897856817144,-0.3202773574206913,-0.38931607576430366,-0.36858953094149716,-0.3816635448903619,-0.3633955415235176,-0.3699063399318918,-0.4029028765696217,-0.3839735815098835,-0.3863403903682597,-0.35797740369609043,0.1052349460494257,0.05670727462582666,0.06736512356421859,0.07911590671771669,0.09806474068917509,0.07446571528019492,0.0449356073790463,0.0567420814479638,0.05551688130873651,0.07329620605638705,0.0876269312874532,0.05319370143484261,0.06506742168736954,0.06864780073086235,0.09033007582775023,0.07105735564925977,0.044163269252267094,0.05463163922546075,0.055161137861122436,0.07155630881808926,0.05821430451994443,0.04592632467148648,0.061621775788429436,0.051227832006475474,0.07467683843182846,0.06200478214223769,0.04025827180405744,0.04035541065417339,0.05229368806851818,0.06493452069479752,0.07114444831186914,0.06614356417744773,0.05515137487819486,0.06890976693165476,-0.37243426426161186,0.2391011061237575
XGBoostWrapper,DiceLoss,"{'alpha': 0.25, 'square_denominator': True, 'reduction': 'sum', 'index_label_position': False, 'smooth': 0.0001}",new_vehicle,0.9607199311257242,0.9476442176774942,0.9454442742110668,0.9527483747482102,0.93511159562494,0.9380077247570338,0.950789004973101,0.9535238553183264,0.9541546697978941,0.9467055155546641,0.927144447739523,0.9150366125742323,0.9282935957491361,0.9124841650217848,0.912938088663123,0.8955366088539825,0.9124120718922362,0.9237325214684995,0.9282828548560424,0.9112487550449246,0.8972310933157956,0.878135148006085,0.8953525131909579,0.8726415984641612,0.8728676008880658,0.8533425514083138,0.87237041968868,0.8879501208922596,0.893713734827244,0.8688571780975906,0.9361712495649147,0.9243508527671424,0.935036547163244,0.9208284023668639,0.9207866341802994,0.9089383919248173,0.9208284023668639,0.9302749738948835,0.9337974242951617,0.9184197702749739,0.9342474548630042,0.9210622856377544,0.9317244092451947,0.9182949410729389,0.9174057297683611,0.9046150707262808,0.9160152631063532,0.9280584957638587,0.9317934154634757,0.9158419388504949,0.9262890057231123,0.9137796963313631,0.9276528138251219,0.9117632250558085,0.9120785427980842,0.8941286785386087,0.9113204758719959,0.9228766982527585,0.9277966818116739,0.9103376161349604,0.9249432648799164,0.9219059004497716,0.9158023434343487,0.9167109721863484,0.8792461958779155,0.9484849163788454
GBTClassifier,DiceLoss,"{'alpha': 0.25, 'square_denominator': True, 'reduction': 'sum', 'index_label_position': False, 'smooth': 1e-05}",new_vehicle,0.22288746020623112,0.21624052898524834,0.22141942343744211,0.2113290528472771,0.22910647072271723,0.22069377600617016,0.24257267679527622,0.2465450239771913,0.23029886105258268,0.2266300191648451,0.04338125015279598,0.056808588887932256,0.028097873398830985,0.04000276892889752,0.060926294407826556,0.05549769503941872,0.06581105169340463,0.045296227560249445,0.08226077995571839,0.05826493388052896,-0.40947463610361023,-0.3817224925787238,-0.43184519492718687,-0.4142433136935906,-0.38387178611849915,-0.40207051204717087,-0.3702866252717496,-0.398089400716091,-0.39000693313673473,-0.38277881019667814,0.04609815523842673,0.04612600069613645,0.03191089453532893,0.03549599721545423,0.06378698224852071,0.05674904281239124,0.07329620605638706,0.04725374173337974,0.07213365819700661,0.05321266968325792,0.04482247966042814,0.046622581996386685,0.030750863769362636,0.0333975996124609,0.061448615317028644,0.05166800564514236,0.06774018318382764,0.04420431834211094,0.06868072714617976,0.05299913244528474,0.03732715277879171,0.04135673785621545,0.024621137278091048,0.03064321340831816,0.04833779465439732,0.03928615888626548,0.052636352501553005,0.03052474515087955,0.062303276678724075,0.03868560586616139,0.052606334841628966,0.05023345071182125,0.040572217505939714,0.05363474639056034,-0.39643897047900356,0.22677232931949814
XGBoostWrapper,DiceLoss,"{'alpha': 0.25, 'square_denominator': True, 'reduction': 'sum', 'index_label_position': False, 'smooth': 1e-05}",new_vehicle,0.803697198087373,0.7895898847262259,0.8076224575046009,0.797961291265265,0.7854910120044352,0.7790027900062895,0.7987921880814435,0.7924553923019392,0.7833025555642609,0.791527272113052,0.9401646316899395,0.9282226718410029,0.9390369814104425,0.936040107483336,0.9349539486201592,0.9248411187535673,0.9326926053123044,0.9400331846296279,0.9407653776532026,0.9376552965198657,0.9076828657969687,0.8951185202206137,0.9068473857264238,0.9092058452260124,0.8988707807018013,0.8881055004899869,0.8942210231266762,0.9094593763514046,0.9107058247068673,0.9067350297789016,0.9420536025060912,0.9349808562478247,0.9420814479638009,0.943237034458754,0.9361990950226244,0.9302471284371737,0.9338043856595892,0.9432579185520362,0.9444622345979813,0.9420605638705186,0.9400098757435312,0.9324334560717847,0.9395990782893454,0.9404870475827624,0.93384296681705,0.9267510379604543,0.9312655560757725,0.9416218498629023,0.9422381904616426,0.9393715989949435,0.939431951621653,0.9274731356228736,0.9380458922880914,0.9347828846458409,0.9339965256440603,0.9235850015632808,0.9315567995619551,0.9394802463804404,0.9403724583324209,0.9362258376498019,0.9392384267316393,0.936762065786019,0.934495073331042,0.9354405923913449,0.9026952152125658,0.7929442041654886
GBTClassifier,DiceLoss,"{'alpha': 0.5, 'square_denominator': True, 'reduction': 'sum', 'index_label_position': False, 'smooth': 0.001}",new_vehicle,0.385737886679298,0.374657051608711,0.41319739371131253,0.3217649202223492,0.3915943240330301,0.39925426854168816,0.33555968257650226,0.36658221543177444,0.337385301383862,0.44018279703525814,0.2240612693280272,0.21166943559556417,0.2329522362422499,0.14447450937875014,0.22728007210907344,0.26182202430492446,0.1701595987232102,0.254371006710268,0.1417124735729387,0.27135576006301043,-0.17536185598381607,-0.18084344410562966,-0.1691361496702998,-0.3242538515503609,-0.18491189285442214,-0.13538897743090364,-0.2976877671710026,-0.12710074342826264,-0.33244964530767657,-0.10521304384181276,0.25435433344935604,0.26364775495997217,0.2965680473372781,0.18925165332405153,0.2860911938739993,0.3213574660633484,0.21406891750783155,0.29198050817960325,0.1877201531500174,0.3416916115558649,0.2019065787736097,0.186857604018066,0.2048640706908019,0.1222133652411411,0.20571313194254315,0.22313986645582667,0.15895681917611837,0.23633886440943952,0.12720053700932094,0.2224087877791979,0.13619019330849272,0.12308513533401318,0.12054071880824535,0.06350917914176354,0.14431524730072207,0.13557760630195595,0.08975728651758841,0.1774884309819713,0.06360204241205769,0.1075298670373925,0.26467316394013224,0.1889599625496065,0.11615957071442029,0.21398583860280168,-0.20323473713441867,0.3765915841223786
XGBoostWrapper,DiceLoss,"{'alpha': 0.5, 'square_denominator': True, 'reduction': 'sum', 'index_label_position': False, 'smooth': 0.001}",new_vehicle,0.8881540957238261,0.9266421261160117,0.8290060679401187,0.899120000969164,0.8876432321253006,0.904959360424851,0.8680476766656273,0.8383314827090784,0.893131497366322,0.8789325010738993,0.9033655188101152,0.9139207980042453,0.9115458860944496,0.9174109026708205,0.9158548071475568,0.9246452103907645,0.9129628495839166,0.9101334666245746,0.8906887458187048,0.9074712557544296,0.8685598904671945,0.870744972302106,0.8783374300257517,0.8732905580470977,0.8749719985753591,0.8954042782809222,0.8706150830010104,0.8702621513004496,0.8469895006582624,0.8647187068126158,0.9184128089105463,0.9195892794987817,0.924316045945005,0.920814479638009,0.9219909502262442,0.9350156630699618,0.9196380090497739,0.9196101635920642,0.9054159415245389,0.9149460494256875,0.9151126068548623,0.9170495670503996,0.9199382440948028,0.9182852750539823,0.9188590535588157,0.9316898383132406,0.9167823459347207,0.9163370821779102,0.9007795285535419,0.912042680600139,0.9014347615762676,0.9135403494835395,0.9093968967425068,0.9168303355096585,0.9148554125948152,0.9234616275341084,0.912091370699214,0.9093719029986943,0.8891083571379159,0.9059914584503183,0.9199749390880612,0.9166876222192416,0.9096082472727038,0.9107999440899578,0.8713894569470769,0.88139680411142
